course_code,course,EX,A,B,C,D,P,F,session,category,Personal Interest,EX_percent,A_percent,B_percent,C_percent,D_percent,P_percent,F_percent,Mean Grade,cum_EX_A_%,cum_EX_A_B_%,"cum_EX,A,B,C_%"
IM39005,QUALITY DESIGN AND CONTROL LABORATORY ,18,43,4,1,0,0,0,Autumn 21,Industrial and Systems Engineering_related_roles,,27.27272727272727,65.15151515151516,6.0606060606060606,1.5151515151515151,0.0,0.0,0.0,9.181818181818182,92.42424242424242,98.48484848484848,100.0
ME29701,WORKSHOP PROCESS-II ,3,11,34,15,2,1,0,Autumn 21,Mechanical Engineering_related_roles,,4.545454545454546,16.666666666666664,51.515151515151516,22.727272727272727,3.0303030303030303,1.5151515151515151,0.0,7.848484848484849,21.21212121212121,72.72727272727272,95.45454545454544
IM31002,QUALITY ENGINEERING ,8,31,18,2,6,0,0,Spring 22,Industrial and Systems Engineering_related_roles,,12.307692307692308,47.69230769230769,27.692307692307693,3.076923076923077,9.230769230769232,0.0,0.0,8.507692307692308,60.0,87.6923076923077,90.76923076923077
IM31006,SIMULATION ,8,28,18,8,3,0,0,Spring 22,Industrial and Systems Engineering_related_roles,,12.307692307692308,43.07692307692308,27.692307692307693,12.307692307692308,4.615384615384616,0.0,0.0,8.461538461538462,55.38461538461539,83.07692307692308,95.38461538461539
IM31010,MANAGEMENT OF INVENTORY SYSTEMS ,4,28,18,11,4,0,0,Spring 22,Industrial and Systems Engineering_related_roles,,6.153846153846154,43.07692307692308,27.692307692307693,16.923076923076923,6.153846153846154,0.0,0.0,8.261538461538462,49.23076923076923,76.92307692307693,93.84615384615385
IM31012,OPTIMISATION AND HEURISTIC METHODS ,11,8,12,18,12,4,0,Spring 22,Industrial and Systems Engineering_related_roles,,16.923076923076923,12.307692307692308,18.461538461538463,27.692307692307693,18.461538461538463,6.153846153846154,0.0,7.323076923076923,29.230769230769234,47.69230769230769,75.38461538461539
IM39003,OPTIMISATION AND HEURISTIC METHODS PROJECT ,7,30,19,8,0,1,0,Spring 22,Industrial and Systems Engineering_related_roles,,10.76923076923077,46.15384615384615,29.230769230769234,12.307692307692308,0.0,1.5384615384615385,0.0,8.430769230769231,56.92307692307692,86.15384615384616,98.46153846153847
IM39006,SIMULATION LAB. ,14,44,7,0,0,0,0,Spring 22,Industrial and Systems Engineering_related_roles,,21.53846153846154,67.6923076923077,10.76923076923077,0.0,0.0,0.0,0.0,9.107692307692307,89.23076923076923,100.0,100.0
ME30604,MACHINES TOOLS AND MACHINING ,21,188,57,11,1,0,1,Spring 22,Mechanical Engineering_related_roles,,7.526881720430108,67.38351254480287,20.43010752688172,3.942652329749104,0.35842293906810035,0.0,0.35842293906810035,8.74910394265233,74.91039426523298,95.34050179211471,99.28315412186382
ME39604,MACHINES TOOLS AND MACHINING LAB. ,13,206,52,7,0,1,0,Spring 22,Mechanical Engineering_related_roles,,4.659498207885305,73.83512544802868,18.63799283154122,2.5089605734767026,0.0,0.35842293906810035,0.0,8.777777777777779,78.49462365591398,97.13261648745521,99.64157706093191
IM41001,PRODUCT DEVELOPMENT ,12,30,11,7,3,2,0,Autumn 22,Industrial and Systems Engineering_related_roles,,18.461538461538463,46.15384615384615,16.923076923076923,10.76923076923077,4.615384615384616,3.076923076923077,0.0,8.384615384615385,64.61538461538461,81.53846153846153,92.3076923076923
IM47003,PROJECT-I ,5,16,16,5,0,0,2,Autumn 22,Industrial and Systems Engineering_related_roles,,11.363636363636363,36.36363636363637,36.36363636363637,11.363636363636363,0.0,0.0,4.545454545454546,8.113636363636363,47.727272727272734,84.0909090909091,95.45454545454545
IM48003,SUMMER TRAINING ,2,7,17,7,0,0,0,Autumn 22,Industrial and Systems Engineering_related_roles,,6.0606060606060606,21.21212121212121,51.515151515151516,21.21212121212121,0.0,0.0,0.0,8.121212121212121,27.272727272727273,78.78787878787878,100.0
IM49001,PRODUCT DEVELOPMENT PROJECT ,6,28,22,9,0,0,0,Autumn 22,Industrial and Systems Engineering_related_roles,,9.230769230769232,43.07692307692308,33.84615384615385,13.846153846153847,0.0,0.0,0.0,8.476923076923077,52.307692307692314,86.15384615384616,100.0
MT21104,GENETIC ALGORITHMS IN ENGINEERING PROCESS MODELING ,16,17,1,1,0,0,0,Spring 21,Metallurgical and Materials Engineering_related_roles,,45.714285714285715,48.57142857142857,2.857142857142857,2.857142857142857,0.0,0.0,0.0,9.371428571428572,94.28571428571428,97.14285714285714,100.0
MA60239, ,0,0,0,0,0,1,0,Autumn 22,Mathematics_related_roles,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
GG21103,PALEONTOLOGY ,24,5,3,0,1,0,0,Autumn 20,Geology and Geophysics_related_roles,,72.72727272727273,15.151515151515152,9.090909090909092,0.0,3.0303030303030303,0.0,0.0,9.545454545454545,87.87878787878789,96.96969696969698,96.96969696969698
GG29003,PALEONTOLOGY LAB. ,2,25,4,2,0,0,0,Autumn 20,Geology and Geophysics_related_roles,,6.0606060606060606,75.75757575757575,12.121212121212121,6.0606060606060606,0.0,0.0,0.0,8.818181818181818,81.81818181818181,93.93939393939394,100.0
GG20002,THERMODYNAMICS OF GEOL. SYSTEMS ,9,18,1,4,1,0,0,Spring 21,Geology and Geophysics_related_roles,,27.27272727272727,54.54545454545454,3.0303030303030303,12.121212121212121,3.0303030303030303,0.0,0.0,8.909090909090908,81.81818181818181,84.84848484848484,96.96969696969697
GG28002,FIELD WORK (3 WEEKS) ,2,7,4,2,16,2,0,Spring 21,Geology and Geophysics_related_roles,,6.0606060606060606,21.21212121212121,12.121212121212121,6.0606060606060606,48.484848484848484,6.0606060606060606,0.0,6.818181818181818,27.272727272727273,39.39393939393939,45.45454545454545
GG31007,ENGINEERING GEOLOGY ,10,11,7,5,0,0,0,Autumn 21,Geology and Geophysics_related_roles,,30.303030303030305,33.33333333333333,21.21212121212121,15.151515151515152,0.0,0.0,0.0,8.787878787878787,63.63636363636363,84.84848484848484,100.0
GG31009,METAMORPHIC PETROLOGY ,1,1,11,14,6,0,0,Autumn 21,Geology and Geophysics_related_roles,,3.0303030303030303,3.0303030303030303,33.33333333333333,42.42424242424242,18.181818181818183,0.0,0.0,7.303030303030303,6.0606060606060606,39.39393939393939,81.81818181818181
GG39007,ENGINEERING GEOLOGY LABORATORY ,6,1,3,7,15,1,0,Autumn 21,Geology and Geophysics_related_roles,,18.181818181818183,3.0303030303030303,9.090909090909092,21.21212121212121,45.45454545454545,3.0303030303030303,0.0,7.03030303030303,21.212121212121215,30.303030303030305,51.515151515151516
GG39009,METAMORPHIC PETROLOGY LAB. ,1,8,7,12,3,2,0,Autumn 21,Geology and Geophysics_related_roles,,3.0303030303030303,24.242424242424242,21.21212121212121,36.36363636363637,9.090909090909092,6.0606060606060606,0.0,7.2727272727272725,27.272727272727273,48.484848484848484,84.84848484848484
GG41001,GEOCHEMISTRY ,0,7,12,5,5,4,0,Autumn 21,Geology and Geophysics_related_roles,,0.0,21.21212121212121,36.36363636363637,15.151515151515152,15.151515151515152,12.121212121212121,0.0,6.787878787878788,21.21212121212121,57.57575757575758,72.72727272727273
GG49001,GEOCHEMISTRY LAB. ,5,20,7,1,0,0,0,Autumn 21,Geology and Geophysics_related_roles,,15.151515151515152,60.60606060606061,21.21212121212121,3.0303030303030303,0.0,0.0,0.0,8.878787878787879,75.75757575757576,96.96969696969697,100.0
GG30002,STRATIGRAPHY ,0,6,14,9,3,1,0,Spring 22,Geology and Geophysics_related_roles,,0.0,18.181818181818183,42.42424242424242,27.27272727272727,9.090909090909092,3.0303030303030303,0.0,7.484848484848484,18.181818181818183,60.60606060606061,87.87878787878788
GG31004,SEDIMENTOLOGY ,5,12,12,4,0,0,0,Spring 22,Geology and Geophysics_related_roles,,15.151515151515152,36.36363636363637,36.36363636363637,12.121212121212121,0.0,0.0,0.0,8.545454545454545,51.515151515151516,87.87878787878788,100.0
GG31006,IGNEOUS PETROLOGY ,0,5,15,11,2,0,0,Spring 22,Geology and Geophysics_related_roles,,0.0,15.151515151515152,45.45454545454545,33.33333333333333,6.0606060606060606,0.0,0.0,7.696969696969697,15.151515151515152,60.60606060606061,93.93939393939394
GG38002,FIELD WORK (3 WEEKS) ,2,7,4,2,16,2,0,Spring 22,Geology and Geophysics_related_roles,,6.0606060606060606,21.21212121212121,12.121212121212121,6.0606060606060606,48.484848484848484,6.0606060606060606,0.0,6.818181818181818,27.272727272727273,39.39393939393939,45.45454545454545
GG39001,IGNEOUS PETROLOGY LAB. ,4,11,8,10,0,0,0,Spring 22,Geology and Geophysics_related_roles,,12.121212121212121,33.33333333333333,24.242424242424242,30.303030303030305,0.0,0.0,0.0,8.272727272727273,45.45454545454545,69.69696969696969,100.0
GG39008,SEDIMENTOLOGY LAB. ,2,3,8,4,11,3,2,Spring 22,Geology and Geophysics_related_roles,,6.0606060606060606,9.090909090909092,24.242424242424242,12.121212121212121,33.33333333333333,9.090909090909092,6.0606060606060606,6.212121212121212,15.151515151515152,39.39393939393939,51.515151515151516
GG41005,ORE GEOLOGY ,2,8,12,8,3,0,0,Autumn 22,Geology and Geophysics_related_roles,,6.0606060606060606,24.242424242424242,36.36363636363637,24.242424242424242,9.090909090909092,0.0,0.0,7.9393939393939394,30.303030303030305,66.66666666666667,90.9090909090909
GG41007,ADVANCED STRUCTURAL GEOLOGY ,0,2,4,10,11,5,1,Autumn 22,Geology and Geophysics_related_roles,,0.0,6.0606060606060606,12.121212121212121,30.303030303030305,33.33333333333333,15.151515151515152,3.0303030303030303,5.636363636363637,6.0606060606060606,18.18181818181818,48.484848484848484
GG41011,GEOPHYSICAL PROSPECTING ,0,3,10,12,2,5,1,Autumn 22,Geology and Geophysics_related_roles,,0.0,9.090909090909092,30.303030303030305,36.36363636363637,6.0606060606060606,15.151515151515152,3.0303030303030303,6.151515151515151,9.090909090909092,39.3939393939394,75.75757575757576
GG49005,ORE GEOLOGY LAB. ,6,10,11,6,0,0,0,Autumn 22,Geology and Geophysics_related_roles,,18.181818181818183,30.303030303030305,33.33333333333333,18.181818181818183,0.0,0.0,0.0,8.484848484848484,48.484848484848484,81.81818181818181,100.0
GG49007,ADVANCED STRUCTURAL GEOLOGY LAB. ,2,20,10,1,0,0,0,Autumn 22,Geology and Geophysics_related_roles,,6.0606060606060606,60.60606060606061,30.303030303030305,3.0303030303030303,0.0,0.0,0.0,8.696969696969697,66.66666666666667,96.96969696969697,100.0
GG49011,GEOPHYSICAL PROSPECTING LAB. ,11,22,0,0,0,0,0,Autumn 22,Geology and Geophysics_related_roles,,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.0,9.333333333333334,99.99999999999999,99.99999999999999,99.99999999999999
